HourUTC,PriceArea,SpotPriceEUR
2015-01-01 00:00:00+00:00,DK2,18.29
2015-01-01 01:00:00+00:00,DK2,16.04
2015-01-01 02:00:00+00:00,DK2,14.6
2015-01-01 03:00:00+00:00,DK2,14.95
2015-01-01 04:00:00+00:00,DK2,14.5
2015-01-01 05:00:00+00:00,DK2,10.76
2015-01-01 06:00:00+00:00,DK2,12.01
2015-01-01 07:00:00+00:00,DK2,12.39
2015-01-01 08:00:00+00:00,DK2,14.04
2015-01-01 09:00:00+00:00,DK2,14.68
2015-01-01 10:00:00+00:00,DK2,16.08
2015-01-01 11:00:00+00:00,DK2,16.08
2015-01-01 12:00:00+00:00,DK2,25.42
2015-01-01 13:00:00+00:00,DK2,26.78
2015-01-01 14:00:00+00:00,DK2,27.51
2015-01-01 15:00:00+00:00,DK2,28.32
2015-01-01 16:00:00+00:00,DK2,28.36
2015-01-01 17:00:00+00:00,DK2,28.18
2015-01-01 18:00:00+00:00,DK2,27.81
2015-01-01 19:00:00+00:00,DK2,16.09
2015-01-01 20:00:00+00:00,DK2,14.08
2015-01-01 21:00:00+00:00,DK2,12.44
2015-01-01 22:00:00+00:00,DK2,0.04
2015-01-01 23:00:00+00:00,DK2,-12.11
2015-01-02 00:00:00+00:00,DK2,-19.63
2015-01-02 01:00:00+00:00,DK2,-19.37
2015-01-02 02:00:00+00:00,DK2,-31.41
2015-01-02 03:00:00+00:00,DK2,-31.41
2015-01-02 04:00:00+00:00,DK2,-13.48
2015-01-02 05:00:00+00:00,DK2,0.08
2015-01-02 06:00:00+00:00,DK2,28.37
2015-01-02 07:00:00+00:00,DK2,28.37
2015-01-02 08:00:00+00:00,DK2,28.32
2015-01-02 09:00:00+00:00,DK2,28.3
2015-01-02 10:00:00+00:00,DK2,28.39
2015-01-02 11:00:00+00:00,DK2,28.3
2015-01-02 12:00:00+00:00,DK2,28.24
2015-01-02 13:00:00+00:00,DK2,28.12
2015-01-02 14:00:00+00:00,DK2,28.23
2015-01-02 15:00:00+00:00,DK2,28.59
2015-01-02 16:00:00+00:00,DK2,28.73
2015-01-02 17:00:00+00:00,DK2,28.48
2015-01-02 18:00:00+00:00,DK2,28.38
2015-01-02 19:00:00+00:00,DK2,15.0
2015-01-02 20:00:00+00:00,DK2,12.22
2015-01-02 21:00:00+00:00,DK2,10.4
2015-01-02 22:00:00+00:00,DK2,-0.33
2015-01-02 23:00:00+00:00,DK2,-0.08
2015-01-03 00:00:00+00:00,DK2,-0.07
2015-01-03 01:00:00+00:00,DK2,-5.03
2015-01-03 02:00:00+00:00,DK2,0.01
