HourUTC,SpotPriceEUR
2018-10-01 00:00:00+02:00,59.53
2018-10-01 01:00:00+02:00,56.1
2018-10-01 02:00:00+02:00,51.41
2018-10-01 03:00:00+02:00,47.38
2018-10-01 04:00:00+02:00,47.59
2018-10-01 05:00:00+02:00,51.61
2018-10-01 06:00:00+02:00,69.13
2018-10-01 07:00:00+02:00,77.32
2018-10-01 08:00:00+02:00,84.97
2018-10-01 09:00:00+02:00,79.56
2018-10-01 10:00:00+02:00,73.7
2018-10-01 11:00:00+02:00,71.63
2018-10-01 12:00:00+02:00,63.15
2018-10-01 13:00:00+02:00,60.24
2018-10-01 14:00:00+02:00,56.18
2018-10-01 15:00:00+02:00,53.0
2018-10-01 16:00:00+02:00,53.37
2018-10-01 17:00:00+02:00,60.42
2018-10-01 18:00:00+02:00,69.93
2018-10-01 19:00:00+02:00,75.0
2018-10-01 20:00:00+02:00,65.83
2018-10-01 21:00:00+02:00,53.86
2018-10-01 22:00:00+02:00,46.46
2018-10-01 23:00:00+02:00,42.5
2018-10-02 00:00:00+02:00,45.1
2018-10-02 01:00:00+02:00,44.1
2018-10-02 02:00:00+02:00,44.06
2018-10-02 03:00:00+02:00,43.77
2018-10-02 04:00:00+02:00,44.29
2018-10-02 05:00:00+02:00,48.13
2018-10-02 06:00:00+02:00,57.7
2018-10-02 07:00:00+02:00,68.21
2018-10-02 08:00:00+02:00,70.36
2018-10-02 09:00:00+02:00,54.53
2018-10-02 10:00:00+02:00,48.49
2018-10-02 11:00:00+02:00,46.19
2018-10-02 12:00:00+02:00,44.15
2018-10-02 13:00:00+02:00,30.79
2018-10-02 14:00:00+02:00,27.75
2018-10-02 15:00:00+02:00,30.74
2018-10-02 16:00:00+02:00,26.77
2018-10-02 17:00:00+02:00,38.68
2018-10-02 18:00:00+02:00,48.52
2018-10-02 19:00:00+02:00,49.03
2018-10-02 20:00:00+02:00,45.43
2018-10-02 21:00:00+02:00,32.04
2018-10-02 22:00:00+02:00,26.22
2018-10-02 23:00:00+02:00,1.08
2018-10-03 00:00:00+02:00,2.13
2018-10-03 01:00:00+02:00,0.1
2018-10-03 02:00:00+02:00,0.05
2018-10-03 03:00:00+02:00,0.07
2018-10-03 04:00:00+02:00,-0.08
2018-10-03 05:00:00+02:00,-0.09
2018-10-03 06:00:00+02:00,-4.97
2018-10-03 07:00:00+02:00,-0.06
2018-10-03 08:00:00+02:00,0.7
2018-10-03 09:00:00+02:00,0.91
2018-10-03 10:00:00+02:00,-0.03
2018-10-03 11:00:00+02:00,0.03
2018-10-03 12:00:00+02:00,-0.04
2018-10-03 13:00:00+02:00,0.0
2018-10-03 14:00:00+02:00,0.03
2018-10-03 15:00:00+02:00,5.75
2018-10-03 16:00:00+02:00,20.28
2018-10-03 17:00:00+02:00,43.2
2018-10-03 18:00:00+02:00,63.23
2018-10-03 19:00:00+02:00,71.44
2018-10-03 20:00:00+02:00,67.95
2018-10-03 21:00:00+02:00,56.88
2018-10-03 22:00:00+02:00,62.85
2018-10-03 23:00:00+02:00,48.72
2018-10-04 00:00:00+02:00,53.24
2018-10-04 01:00:00+02:00,46.1
2018-10-04 02:00:00+02:00,45.6
2018-10-04 03:00:00+02:00,46.88
2018-10-04 04:00:00+02:00,47.53
2018-10-04 05:00:00+02:00,50.88
2018-10-04 06:00:00+02:00,74.69
2018-10-04 07:00:00+02:00,80.15
2018-10-04 08:00:00+02:00,81.0
2018-10-04 09:00:00+02:00,82.09
2018-10-04 10:00:00+02:00,78.96
2018-10-04 11:00:00+02:00,75.34
2018-10-04 12:00:00+02:00,63.05
2018-10-04 13:00:00+02:00,54.49
2018-10-04 14:00:00+02:00,54.4
2018-10-04 15:00:00+02:00,57.61
2018-10-04 16:00:00+02:00,66.96
2018-10-04 17:00:00+02:00,77.23
2018-10-04 18:00:00+02:00,80.25
2018-10-04 19:00:00+02:00,88.08
2018-10-04 20:00:00+02:00,80.67
2018-10-04 21:00:00+02:00,72.22
2018-10-04 22:00:00+02:00,53.98
2018-10-04 23:00:00+02:00,52.25
2018-10-05 00:00:00+02:00,49.57
2018-10-05 01:00:00+02:00,51.16
2018-10-05 02:00:00+02:00,48.91
2018-10-05 03:00:00+02:00,47.36
2018-10-05 04:00:00+02:00,48.28
2018-10-05 05:00:00+02:00,54.18
2018-10-05 06:00:00+02:00,63.62
2018-10-05 07:00:00+02:00,78.87
2018-10-05 08:00:00+02:00,79.74
2018-10-05 09:00:00+02:00,74.5
2018-10-05 10:00:00+02:00,55.42
2018-10-05 11:00:00+02:00,50.21
2018-10-05 12:00:00+02:00,46.64
2018-10-05 13:00:00+02:00,50.72
2018-10-05 14:00:00+02:00,48.24
2018-10-05 15:00:00+02:00,48.55
2018-10-05 16:00:00+02:00,54.98
2018-10-05 17:00:00+02:00,74.99
2018-10-05 18:00:00+02:00,78.66
2018-10-05 19:00:00+02:00,82.96
2018-10-05 20:00:00+02:00,79.9
2018-10-05 21:00:00+02:00,65.08
2018-10-05 22:00:00+02:00,59.86
2018-10-05 23:00:00+02:00,54.7
2018-10-06 00:00:00+02:00,50.1
2018-10-06 01:00:00+02:00,52.98
2018-10-06 02:00:00+02:00,51.52
2018-10-06 03:00:00+02:00,51.0
2018-10-06 04:00:00+02:00,50.0
2018-10-06 05:00:00+02:00,46.91
2018-10-06 06:00:00+02:00,53.03
2018-10-06 07:00:00+02:00,62.37
2018-10-06 08:00:00+02:00,63.98
2018-10-06 09:00:00+02:00,70.72
2018-10-06 10:00:00+02:00,64.79
2018-10-06 11:00:00+02:00,59.06
2018-10-06 12:00:00+02:00,58.0
2018-10-06 13:00:00+02:00,51.51
2018-10-06 14:00:00+02:00,50.2
2018-10-06 15:00:00+02:00,49.23
2018-10-06 16:00:00+02:00,54.81
2018-10-06 17:00:00+02:00,59.93
2018-10-06 18:00:00+02:00,72.06
2018-10-06 19:00:00+02:00,82.27
2018-10-06 20:00:00+02:00,70.6
2018-10-06 21:00:00+02:00,61.39
2018-10-06 22:00:00+02:00,57.02
2018-10-06 23:00:00+02:00,46.46
2018-10-07 00:00:00+02:00,50.49
2018-10-07 01:00:00+02:00,47.11
2018-10-07 02:00:00+02:00,45.75
2018-10-07 03:00:00+02:00,43.02
2018-10-07 04:00:00+02:00,42.5
2018-10-07 05:00:00+02:00,43.8
2018-10-07 06:00:00+02:00,44.6
2018-10-07 07:00:00+02:00,46.56
2018-10-07 08:00:00+02:00,50.71
2018-10-07 09:00:00+02:00,55.98
2018-10-07 10:00:00+02:00,55.09
2018-10-07 11:00:00+02:00,55.13
2018-10-07 12:00:00+02:00,54.06
2018-10-07 13:00:00+02:00,50.9
2018-10-07 14:00:00+02:00,49.91
2018-10-07 15:00:00+02:00,49.05
2018-10-07 16:00:00+02:00,50.21
2018-10-07 17:00:00+02:00,55.48
2018-10-07 18:00:00+02:00,70.0
2018-10-07 19:00:00+02:00,80.94
2018-10-07 20:00:00+02:00,77.07
2018-10-07 21:00:00+02:00,71.47
2018-10-07 22:00:00+02:00,68.3
2018-10-07 23:00:00+02:00,59.91
2018-10-08 00:00:00+02:00,55.59
2018-10-08 01:00:00+02:00,50.3
2018-10-08 02:00:00+02:00,50.16
2018-10-08 03:00:00+02:00,47.32
2018-10-08 04:00:00+02:00,47.94
2018-10-08 05:00:00+02:00,51.14
2018-10-08 06:00:00+02:00,62.79
2018-10-08 07:00:00+02:00,79.98
2018-10-08 08:00:00+02:00,82.42
2018-10-08 09:00:00+02:00,81.58
2018-10-08 10:00:00+02:00,66.89
2018-10-08 11:00:00+02:00,52.06
2018-10-08 12:00:00+02:00,51.57
2018-10-08 13:00:00+02:00,49.96
2018-10-08 14:00:00+02:00,52.07
2018-10-08 15:00:00+02:00,52.81
2018-10-08 16:00:00+02:00,61.52
2018-10-08 17:00:00+02:00,74.9
2018-10-08 18:00:00+02:00,85.37
2018-10-08 19:00:00+02:00,102.01
2018-10-08 20:00:00+02:00,85.77
2018-10-08 21:00:00+02:00,78.1
2018-10-08 22:00:00+02:00,58.01
2018-10-08 23:00:00+02:00,52.95
2018-10-09 00:00:00+02:00,56.77
2018-10-09 01:00:00+02:00,57.43
2018-10-09 02:00:00+02:00,55.11
2018-10-09 03:00:00+02:00,52.35
2018-10-09 04:00:00+02:00,54.86
2018-10-09 05:00:00+02:00,57.99
2018-10-09 06:00:00+02:00,74.27
2018-10-09 07:00:00+02:00,91.37
2018-10-09 08:00:00+02:00,96.68
2018-10-09 09:00:00+02:00,91.95
2018-10-09 10:00:00+02:00,82.54
2018-10-09 11:00:00+02:00,64.7
2018-10-09 12:00:00+02:00,54.31
2018-10-09 13:00:00+02:00,53.35
2018-10-09 14:00:00+02:00,55.64
2018-10-09 15:00:00+02:00,62.41
2018-10-09 16:00:00+02:00,68.97
2018-10-09 17:00:00+02:00,83.2
2018-10-09 18:00:00+02:00,90.0
2018-10-09 19:00:00+02:00,110.28
2018-10-09 20:00:00+02:00,92.55
2018-10-09 21:00:00+02:00,80.51
2018-10-09 22:00:00+02:00,69.76
2018-10-09 23:00:00+02:00,60.56
2018-10-10 00:00:00+02:00,53.7
2018-10-10 01:00:00+02:00,55.13
2018-10-10 02:00:00+02:00,54.88
2018-10-10 03:00:00+02:00,54.05
2018-10-10 04:00:00+02:00,54.64
2018-10-10 05:00:00+02:00,55.46
2018-10-10 06:00:00+02:00,72.16
2018-10-10 07:00:00+02:00,88.0
2018-10-10 08:00:00+02:00,93.22
2018-10-10 09:00:00+02:00,86.84
2018-10-10 10:00:00+02:00,80.81
2018-10-10 11:00:00+02:00,73.69
2018-10-10 12:00:00+02:00,55.27
2018-10-10 13:00:00+02:00,53.61
2018-10-10 14:00:00+02:00,51.99
2018-10-10 15:00:00+02:00,53.68
2018-10-10 16:00:00+02:00,57.47
2018-10-10 17:00:00+02:00,69.3
2018-10-10 18:00:00+02:00,70.68
2018-10-10 19:00:00+02:00,72.88
2018-10-10 20:00:00+02:00,53.71
2018-10-10 21:00:00+02:00,51.18
2018-10-10 22:00:00+02:00,46.74
2018-10-10 23:00:00+02:00,33.04
2018-10-11 00:00:00+02:00,35.01
2018-10-11 01:00:00+02:00,31.71
2018-10-11 02:00:00+02:00,29.97
2018-10-11 03:00:00+02:00,30.05
2018-10-11 04:00:00+02:00,35.85
2018-10-11 05:00:00+02:00,44.08
2018-10-11 06:00:00+02:00,49.98
2018-10-11 07:00:00+02:00,72.96
2018-10-11 08:00:00+02:00,71.52
2018-10-11 09:00:00+02:00,59.8
2018-10-11 10:00:00+02:00,49.21
2018-10-11 11:00:00+02:00,48.61
2018-10-11 12:00:00+02:00,47.02
2018-10-11 13:00:00+02:00,46.9
2018-10-11 14:00:00+02:00,49.25
2018-10-11 15:00:00+02:00,59.95
2018-10-11 16:00:00+02:00,65.06
2018-10-11 17:00:00+02:00,72.85
2018-10-11 18:00:00+02:00,81.3
2018-10-11 19:00:00+02:00,88.5
2018-10-11 20:00:00+02:00,76.34
2018-10-11 21:00:00+02:00,58.62
2018-10-11 22:00:00+02:00,52.04
2018-10-11 23:00:00+02:00,47.86
2018-10-12 00:00:00+02:00,45.85
2018-10-12 01:00:00+02:00,45.88
2018-10-12 02:00:00+02:00,45.6
2018-10-12 03:00:00+02:00,45.64
2018-10-12 04:00:00+02:00,45.8
2018-10-12 05:00:00+02:00,49.64
2018-10-12 06:00:00+02:00,56.65
2018-10-12 07:00:00+02:00,69.87
2018-10-12 08:00:00+02:00,71.47
2018-10-12 09:00:00+02:00,69.71
2018-10-12 10:00:00+02:00,69.52
2018-10-12 11:00:00+02:00,61.95
2018-10-12 12:00:00+02:00,49.25
2018-10-12 13:00:00+02:00,48.75
2018-10-12 14:00:00+02:00,47.84
2018-10-12 15:00:00+02:00,53.32
2018-10-12 16:00:00+02:00,56.95
2018-10-12 17:00:00+02:00,67.32
2018-10-12 18:00:00+02:00,69.94
2018-10-12 19:00:00+02:00,79.08
2018-10-12 20:00:00+02:00,65.0
2018-10-12 21:00:00+02:00,53.58
2018-10-12 22:00:00+02:00,50.0
2018-10-12 23:00:00+02:00,43.88
2018-10-13 00:00:00+02:00,47.8
2018-10-13 01:00:00+02:00,43.97
2018-10-13 02:00:00+02:00,42.08
2018-10-13 03:00:00+02:00,39.14
2018-10-13 04:00:00+02:00,42.74
2018-10-13 05:00:00+02:00,43.91
2018-10-13 06:00:00+02:00,48.34
2018-10-13 07:00:00+02:00,58.18
2018-10-13 08:00:00+02:00,62.9
2018-10-13 09:00:00+02:00,62.43
2018-10-13 10:00:00+02:00,52.55
2018-10-13 11:00:00+02:00,44.05
2018-10-13 12:00:00+02:00,37.4
2018-10-13 13:00:00+02:00,34.1
2018-10-13 14:00:00+02:00,31.95
2018-10-13 15:00:00+02:00,37.42
2018-10-13 16:00:00+02:00,50.23
2018-10-13 17:00:00+02:00,60.46
2018-10-13 18:00:00+02:00,64.54
2018-10-13 19:00:00+02:00,55.85
2018-10-13 20:00:00+02:00,40.59
2018-10-13 21:00:00+02:00,31.52
2018-10-13 22:00:00+02:00,24.72
2018-10-13 23:00:00+02:00,20.29
2018-10-14 00:00:00+02:00,20.76
2018-10-14 01:00:00+02:00,21.44
